"quartier","ignore","mask","directory",,,"gcp_file","numeros","numeros_output","id","source","url","annotation_output","gcp_output"
23,1,23,"23-a finir","FRAN_0265_00035","FRAN_0265_00035_L.png","cadastre_general_paris/23/FRAN_0265_00035_L.png.points","cadastre_general_paris_numeros/23-a finir/NUMEROS_QUARTIER_23_CORRIGES.zip","cadastre_general_paris_resultat/23/NUMEROS_QUARTIER_23_CORRIGES_GEOREF.gpkg","FRAN_0265_00035","FRAN_0265/FRAN_0265_00035_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00035_L.png","output/Atlas_general_de_Paris/FRAN_0265_00035.json",
24,1,24,"24-a finir","FRAN_0265_00036","FRAN_0265_00036_L.png","cadastre_general_paris/24/FRAN_0265_00036_L.png.points","cadastre_general_paris_numeros/24-a finir/NUMEROS_QUARTIER_24_CORRIGES.zip","cadastre_general_paris_resultat/24/NUMEROS_QUARTIER_24_CORRIGES_GEOREF.gpkg","FRAN_0265_00036","FRAN_0265/FRAN_0265_00036_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00036_L.png","output/Atlas_general_de_Paris/FRAN_0265_00036.json",
25,1,25,"25-a finir","FRAN_0265_00042","FRAN_0265_00042_L.png","cadastre_general_paris/25/FRAN_0265_00042_L.png.points","cadastre_general_paris_numeros/25-a finir/NUMEROS_QUARTIER_25_CORRIGES.zip","cadastre_general_paris_resultat/25/NUMEROS_QUARTIER_25_CORRIGES_GEOREF.gpkg","FRAN_0265_00042","FRAN_0265/FRAN_0265_00042_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00042_L.png","output/Atlas_general_de_Paris/FRAN_0265_00042.json",
26,1,26,"26-a finir","FRAN_0265_00043","FRAN_0265_00043_L.png","cadastre_general_paris/26/FRAN_0265_00043_L.png.points","cadastre_general_paris_numeros/26-a finir/NUMEROS_QUARTIER_26_CORRIGES.zip","cadastre_general_paris_resultat/26/NUMEROS_QUARTIER_26_CORRIGES_GEOREF.gpkg","FRAN_0265_00043","FRAN_0265/FRAN_0265_00043_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00043_L.png","output/Atlas_general_de_Paris/FRAN_0265_00043.json",
27,1,27,"27-a finir","FRAN_0265_00044","FRAN_0265_00044_L.png","cadastre_general_paris/27/FRAN_0265_00044_L.png.points","cadastre_general_paris_numeros/27-a finir/NUMEROS_QUARTIER_27_CORRIGES.zip","cadastre_general_paris_resultat/27/NUMEROS_QUARTIER_27_CORRIGES_GEOREF.gpkg","FRAN_0265_00044","FRAN_0265/FRAN_0265_00044_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00044_L.png","output/Atlas_general_de_Paris/FRAN_0265_00044.json",
28,1,28,"28-a finir","FRAN_0265_00045","FRAN_0265_00045_L.png","cadastre_general_paris/28/FRAN_0265_00045_L.png.points","cadastre_general_paris_numeros/28-a finir/NUMEROS_QUARTIER_28_CORRIGES.zip","cadastre_general_paris_resultat/28/NUMEROS_QUARTIER_28_CORRIGES_GEOREF.gpkg","FRAN_0265_00045","FRAN_0265/FRAN_0265_00045_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00045_L.png","output/Atlas_general_de_Paris/FRAN_0265_00045.json",
29,1,29,"29-a finir","FRAN_0265_00047","FRAN_0265_00047_L.png","cadastre_general_paris/29/FRAN_0265_00047_L.png.points","cadastre_general_paris_numeros/29-a finir/NUMEROS_QUARTIER_29_CORRIGES.zip","cadastre_general_paris_resultat/29/NUMEROS_QUARTIER_29_CORRIGES_GEOREF.gpkg","FRAN_0265_00047","FRAN_0265/FRAN_0265_00047_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00047_L.png","output/Atlas_general_de_Paris/FRAN_0265_00047.json",
30,1,30,"30-a finir","FRAN_0265_00048","FRAN_0265_00048_L.png","cadastre_general_paris/30/FRAN_0265_00048_L.png.points","cadastre_general_paris_numeros/30-a finir/NUMEROS_QUARTIER_30_CORRIGES.zip","cadastre_general_paris_resultat/30/NUMEROS_QUARTIER_30_CORRIGES_GEOREF.gpkg","FRAN_0265_00048","FRAN_0265/FRAN_0265_00048_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00048_L.png","output/Atlas_general_de_Paris/FRAN_0265_00048.json",
31,1,31,"31-a finir","FRAN_0265_00049","FRAN_0265_00049_L.png","cadastre_general_paris/31/FRAN_0265_00049_L.png.points","cadastre_general_paris_numeros/31-a finir/NUMEROS_QUARTIER_31_CORRIGES.zip","cadastre_general_paris_resultat/31/NUMEROS_QUARTIER_31_CORRIGES_GEOREF.gpkg","FRAN_0265_00049","FRAN_0265/FRAN_0265_00049_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00049_L.png","output/Atlas_general_de_Paris/FRAN_0265_00049.json",
32,1,32,"32-a finir","FRAN_0265_00050","FRAN_0265_00050_L.png","cadastre_general_paris/32/FRAN_0265_00050_L.png.points","cadastre_general_paris_numeros/32-a finir/NUMEROS_QUARTIER_32_CORRIGES.zip","cadastre_general_paris_resultat/32/NUMEROS_QUARTIER_32_CORRIGES_GEOREF.gpkg","FRAN_0265_00050","FRAN_0265/FRAN_0265_00050_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00050_L.png","output/Atlas_general_de_Paris/FRAN_0265_00050.json",
